artist,title,lyrics,song_id,keyword_1,keyword_2,keyword_3,keyword,clean_title,popularity_score,popularity_label,popularity_confidence,church_usage_score,youtube_view_score_est,domestic_music_search_score,streaming_platform_score,recency_stability_score,bugs_ccm_chart_rank_2026_06_13,apple_music_top_song_rank_proxy,popularity_basis,popularity_source_urls,popularity_data_status,popularity_collection_date
마커스워십,그는 졸지 않고(시편121편) He will never slumber (Psalm 121) (인도 : 심종호),"[Verse 1]
내가 산을 향하여 나의 눈을 들리라
나의 도움이 어디에서 오는가
나의 도움이 천지 지으신 여호와에게서로다
나의 걸음 실족지 않게 지키시네
그는 졸지 않고 주무시지도 않네
너를 지키시네, 우편에 네 그늘 되시니
낮의 해와 밤의 달도 해치지 못해
네 모든 환란을 면케 하시리
주께서 너의출입 지키시네
지금부터 영원히
신실한 주님 약속 기억해
내영 혼 붙드신 주만 바라네",602126264,신실하심,인도하심,창조주,"신실하심, 인도하심, 창조주",그는 졸지 않고,82,high,high,77,87,82,94,71,,2,artist_baseline:markers; AppleMusic_artist_top_song_rank:2,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,주 말씀대로 날 붙드소서(시편119편) Hold me fast (Psalm 119) (인도 : 심종호),"[Verse 1]
주 말씀 하늘에 서며
그 성실 대대에 이르니
주만이 나의 영원한 기업
내 영혼의 참된 기쁨 되시네
주 사랑 온 땅 비추고
어둔 길 밝혀 주시네
내 눈을 열어 주의 뜻 보게
나의 걸음을 인도 하시네
주 말씀대로 날 붙드소서
주의 보좌 위엄 앞에 경배하네
그 사랑 영원히 흔들림 없으리
참된 소망 영광의 왕 찬양해
Oh- 아-멘 Oh- 아-멘
영원히 찬양해 영원히 찬양해",602126265,인도하심,경배/찬양,사랑,"인도하심, 경배/찬양, 사랑",주 말씀대로 날 붙드소서,83,high,high,78,88,83,96,72,,1,artist_baseline:markers; AppleMusic_artist_top_song_rank:1,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,말씀 앞에서 Stand in awe before the word (인도 : 소진영),"[Verse 1]
말씀 앞에서 경외함으로 주께 홀로 섭니다
생명의 말씀 읽고 순종해 주를 예배합니다
말씀 앞에서 경외함으로 주께 홀로 섭니다
생명의 말씀 읽고 순종해 주를 예배합니다

[Pre-Chorus]
기록된 말씀 힘이 있어서 진리로 우릴 거룩케 하며
거룩한 말씀 세세 영원히 복음이 되어 말씀하시네

[Chorus]
하나님 말씀에 두려워 떠는 자
그 말씀에 생명을 거는 자
한 사람 찾으시는 주님의 약속을 믿어
하나님 말씀에 운명을 거는 자
순종하며 주 따라가는 자
영원한 하나님 나라 이뤄갈
주의 교회여 일어나라

[Verse 2]
말씀 앞에서 경외함으로 주께 홀로 섭니다
생명의 말씀 읽고 순종해 주를 예배합니다

[Pre-Chorus]
기록된 말씀 힘이 있어서 진리로 우릴 거룩케 하며
거룩한 말씀 세세 영원히 복음이 되어 말씀하시네

[Chorus]
하나님 말씀에 두려워 떠는 자
그 말씀에 생명을 거는 자
한 사람 찾으시는 주님의 약속을 믿어
하나님 말씀에 운명을 거는 자
순종하며 주 따라가는 자
영원한 하나님 나라 이뤄갈
주의 교회여 일어나라
하나님 말씀에 두려워 떠는 자
그 말씀에 생명을 거는 자
한 사람 찾으시는 주님의 약속을 믿어
하나님 말씀에 운명을 거는 자
순종하며 주 따라가는 자
영원한 하나님 나라 이뤄갈
주의 교회여 일어나라
하나님 말씀에 두려워 떠는 자
그 말씀에 생명을 거는 자
한 사람 찾으시는 주님의 약속을 믿어
하나님 말씀에 운명을 거는 자
순종하며 주 따라가는 자
영원한 하나님 나라 이뤄갈
주의 교회여 일어나라

[Tag]
영원한 하나님 나라 이뤄갈
주의 교회여 일어나라",601285212,결단/순종,사명/선교,거룩,"결단/순종, 사명/선교, 거룩",말씀 앞에서,81,high,high,80,83,79,90,74,,5,artist_baseline:markers; church_usage_seed:recognized worship-use seed; AppleMusic_artist_top_song_rank:5,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; curated_church_usage_seed; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,슬픈 마음 있는 사람 Take the name of Jesus with you (인도 : 소진영),"[Verse 1]
슬픈 마음 있는 사람 예수 이름 믿으면
영원토록 변함없는 기쁜 마음 얻으리
슬픈 마음 있는 사람 예수 이름 믿으면
영원토록 변함없는 기쁜 마음 얻으리

[Chorus]
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세

[Verse 2]
거룩하신 주의 이름 너의 방패 삼아라
환란 시험 당할 때에 주께 기도 드려라

[Chorus]
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세

[Bridge]
우리 갈길 다 간 후에 보좌 앞에 나아가
왕의 왕께 경배하며 면류관을 드리리
우리 갈길 다 간 후에 보좌 앞에 나아가
왕의 왕께 경배하며 면류관을 드리리

[Chorus]
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세
예수의 이름은 세상의 소망이요
예수의 이름은 천국의 기쁨일세

[Tag]
천국의 기쁨일세
천국의 기쁨일세",601285213,위로,소망,기쁨,"위로, 소망, 기쁨",슬픈 마음 있는 사람,85,very_high,high,88,84,80,91,82,,4,artist_baseline:markers; church_usage_seed:hymn/evergreen congregational seed; AppleMusic_artist_top_song_rank:4; multi_recording_count:5,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; curated_church_usage_seed; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,춤추는 세대 Dancing Generation (인도 : 심종호),"[Verse 1]
주 자비 춤추게 하네 
모든 것 다해 찬양해
춤을 추며 자비 감사해
주 영광 외치게 하네
온 땅에서 주 높이며
주의 영광 소리쳐 찬양해

[Pre-Chorus]
넘쳐 흐르는 용서받은 영혼
이제 주를 보네 우린 멈출 수 없어

[Chorus]
우리는 춤추는 세대 되리
주 크신 자비로 춤추리라
주의 자비로
주 영광 외치는 세대 되리
놀라운 주 영광 외치리라
주의 영광을

[Verse 1]
주 자비 춤추게 하네 
모든 것 다해 찬양해
춤을 추며 자비 감사해
주 영광 외치게 하네
온 땅에서 주 높이며
주의 영광 소리쳐 찬양해

[Pre-Chorus]
넘쳐 흐르는 용서받은 영혼
이제 주를 보네 우린 멈출 수 없어

[Chorus]
우리는 춤추는 세대 되리
주 크신 자비로 춤추리라
주의 자비로
주 영광 외치는 세대 되리
놀라운 주 영광 외치리라
주의 영광을

[Bridge]
넘쳐 흐르는 용서받은 영혼
이제 주를 보네 우린 멈출 수 없어

[Chorus]
우리는 춤추는 세대 되리
주 크신 자비로 춤추리라
주의 자비로
주 영광 외치는 세대 되리
놀라운 주 영광 외치리라
주의 영광을
우리는 춤추는 세대 되리
주 크신 자비로 춤추리라
주의 자비로
주 영광 외치는 세대 되리
놀라운 주 영광 외치리라
주의 영광을",601285214,기쁨,영광,감사,"기쁨, 영광, 감사",춤추는 세대,83,high,high,80,86,81,93,74,,3,artist_baseline:markers; church_usage_seed:recognized worship-use seed; AppleMusic_artist_top_song_rank:3; multi_recording_count:3,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; curated_church_usage_seed; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,주님의 선하심 Goodness of GOD (인도 : 소진영),"[Verse 1]
사랑해요 신실하신 나의 주님
나의 삶 주님 안에 있네
눈을 뜨는 아침부터

[Pre-Chorus]
나 잠들기 까지
오 선하신 주를 노래하리

[Chorus]
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리

[Verse 1]
사랑해요 신실하신 나의 주님
나의 삶 주님 안에 있네
눈을 뜨는 아침부터

[Pre-Chorus]
나 잠들기 까지
오 선하신 주를 노래하리

[Chorus]
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리

[Bridge]
사랑해요 나를 인도하신 주님
고난 중에도 나와 함께 하셨네
내 아버지 되시며
내 친구 되신 주
나의 삶 주님 안에 있네
사랑해요 나를 인도하신 주님
고난 중에도 나와 함께 하셨네
내 아버지 되시며
내 친구 되신 주
나의 삶 주님 안에 있네

[Chorus]
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리

[Bridge]
주님의 선하심이 날 인도하시네
주님의 선하심이 날 지켜 주시네
주께 엎드려 나의 모든 삶 주님께 드리네
주님의 선하심이 날 인도하시네
주님의 선하심이 날 인도하시네
주님의 선하심이 날 지켜 주시네
주께 엎드려 나의 모든 삶 주님께 드리네
주님의 선하심이 날 인도하시네
주님의 선하심이 날 인도하시네
주님의 선하심이 날 지켜 주시네
주께 엎드려 나의 모든 삶 주님께 드리네
주님의 선하심이 날 인도하시네

[Chorus]
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리
신실하신 나의 주님
나의 삶을 인도하셨네
나의 모든 호흡 다해
오 선하신 주를 노래하리

[Tag]
오 선하신 주를 노래하리
오 선하신 주를 노래하리",600681696,사랑,은혜,신실하심,"사랑, 은혜, 신실하심",주님의 선하심,79,high,high,80,80,76,85,74,89,8,artist_baseline:markers; church_usage_seed:recognized worship-use seed; Bugs_CCM_chart_rank:89; AppleMusic_artist_top_song_rank:8; multi_recording_count:2,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://music.bugs.co.kr/genre/chart/etc/nccm/total/day | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_public_chart_match; direct_platform_top_song_match; curated_church_usage_seed; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,나는 믿네 Rompendo em Fé (인도 : 심종호),"[Verse 1]
Verse 
내게 허락하신 시련을 통해
나의 믿음 더욱 강하게 자라나고
험한 산과 골짜기 지나는 동안
주께 더 가까이 나를 이끄시네
내가 겪는 시험이 어렵고 힘겨워도
내 주님보다 크지 않네
내 앞의 바다가 갈라지지 않으면
주가 나로 바다 위 걷게 하리
Chorus 
나는 믿네
주의 능력으로 내 삶 새롭게 되리
나는 믿네
주의 능력으로 담대히 나아가리라
주와 함께 싸워 승리하리라
날마다 믿음으로 나 살아가리",600681697,믿음,고난,결단/순종,"믿음, 고난, 결단/순종",나는 믿네,77,high,high,73,81,77,86,68,,7,artist_baseline:markers; AppleMusic_artist_top_song_rank:7,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,하늘 소망 My Hope For Heaven (인도 : 곽현승),"[Verse 1]
Verse 
나 지금은 비록 땅을 벗하며 살지라도
내 영혼 저 하늘을 디디며 사네
내 주님 계신 눈물 없는 곳
저 하늘에 숨겨둔 내 소망 있네
보고픈 얼굴들 그리운 이름들
많이 생각나 때론 가슴 터지도록 기다려지는 곳
내 아버지 넓은 품 날 맞으시는
저 하늘에 쌓아둔 내 소망 있네
Chorus
주님 그 나라에 이를 때까지
순례의 걸음 멈추지 않으며
어떤 시련이 와도 나 두렵지 않네
주와 함께 걷는 이 길에",600681698,소망,하나님 나라,고난,"소망, 하나님 나라, 고난",하늘 소망,80,high,high,80,82,78,88,74,,6,artist_baseline:markers; church_usage_seed:recognized worship-use seed; AppleMusic_artist_top_song_rank:6; multi_recording_count:2,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://music.apple.com/za/artist/markers-worship/1175295775 | https://songselect.ccli.com/search/results?list=toplanguage_ko,direct_platform_top_song_match; curated_church_usage_seed; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,"예수, 우리의 노래 Jesus, the Song We Sing _심종호 인도","[Verse 1]
예수, 태초부터 이어진
놀라우신 구원의 노래
죄와 흑암에서 우리를
건져내신 생명의 말씀
이 시간 우릴 통해

[Pre-Chorus]
그 뜻 이루시네
거룩한 역사 속에
우릴 초대하네 

[Chorus]
우리 함께 광대하신
주 이름 높이세
신실하신 우리 주께
영광을 돌리세
주의 백성 모두 나와
주를 경배하세
영원하신 주의 나라
이곳에 임하네

[Verse 2]
예수, 보배로운 그 이름
변함없는 소망의 노래
귀한 몸과 피를 기꺼이
우릴 위해 내어주셨네
이 시간 우릴 통해

[Pre-Chorus]
그 뜻 이루시네
거룩한 역사 속에
우릴 초대하네 

[Chorus]
우리 함께 광대하신
주 이름 높이세
신실하신 우리 주께
영광을 돌리세
주의 백성 모두 나와
주를 경배하세
영원하신 주의 나라
이곳에 임하네

[Bridge]
모든 영광 주께
모든 찬양 주께
영원토록 함께하실 이름, 주 예수
모든 영광 주께
모든 찬양 주께
영원토록 함께하실 이름, 주 예수

[Chorus]
우리 함께 광대하신
주 이름 높이세
신실하신 우리 주께
영광을 돌리세
주의 백성 모두 나와
주를 경배하세
영원하신 주의 나라
이곳에 임하네
우리 함께 광대하신
주 이름 높이세
신실하신 우리 주께
영광을 돌리세
주의 백성 모두 나와
주를 경배하세
영원하신 주의 나라
이곳에 임하네",39478555,경배/찬양,영광,공동체,"경배/찬양, 영광, 공동체","예수, 우리의 노래",68,medium,medium,65,72,68,72,62,,,artist_baseline:markers; multi_recording_count:2,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://songselect.ccli.com/search/results?list=toplanguage_ko,estimated_proxy_no_rowwise_api; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
마커스워십,"정금과 같이 이끄시네 Like Gold Refined, You Lead Us _심종호 인도","[Verse 1]
내일의 두렴 넘어
주님의 승리를 찬양해
주 함께 하시네
지나 온 실패 위에
주님의 일하심 나 보네
주 신실하시네
수많은 훈련과 끝없는 인내

[Pre-Chorus]
그 속에 우릴 세우시네
정금과 같이 우리를 이끄시네

[Chorus]
예수와 생명의 길 가네
은혜 위에 걸어가네
반복되는 시간 속에
주 뜻 이루시네
예수로 연합한 길 가네
성령 안에 나아가네
언약 위에 믿음으로
소망의 길 가네

[Verse 1]
내일의 두렴 넘어
주님의 승리를 찬양해
주 함께 하시네
지나 온 실패 위에
주님의 일하심 나 보네
주 신실하시네
수많은 훈련과 끝없는 인내

[Pre-Chorus]
그 속에 우릴 세우시네
정금과 같이 우리를 이끄시네

[Chorus]
예수와 생명의 길 가네
은혜 위에 걸어가네
반복되는 시간 속에
주 뜻 이루시네
예수로 연합한 길 가네
성령 안에 나아가네
언약 위에 믿음으로
소망의 길 가네
예수와 생명의 길 가네
은혜 위에 걸어가네
반복되는 시간 속에
주 뜻 이루시네
예수로 연합한 길 가네
성령 안에 나아가네
언약 위에 믿음으로
소망의 길 가네
예수와 생명의 길 가네
은혜 위에 걸어가네
반복되는 시간 속에
주 뜻 이루시네
예수로 연합한 길 가네
성령 안에 나아가네
언약 위에 믿음으로
소망의 길 가네
예수와 생명의 길 가네
은혜 위에 걸어가네
반복되는 시간 속에
주 뜻 이루시네
예수로 연합한 길 가네
성령 안에 나아가네
언약 위에 믿음으로
소망의 길 가네",39478556,인도하심,공동체,신실하심,"인도하심, 공동체, 신실하심",정금과 같이 이끄시네,66,medium,medium,60,72,68,72,62,,,artist_baseline:markers,https://developers.google.com/youtube/v3/docs/search/list | https://developers.google.com/youtube/v3/docs/videos | https://songselect.ccli.com/search/results?list=toplanguage_ko,estimated_proxy_no_rowwise_api; youtube_view_score_is_estimated_not_raw_viewcount,2026-06-14
